Diametro (mm),Seccion (mm2),Capacidad (A),Resistencia (O/Km.)
0.05,0.00,0.01,8500.00
0.06,0.00,0.01,6800.00
0.07,0.00,0.01,4250.00
0.08,0.01,0.01,3400.00
0.09,0.01,0.02,2696.00
0.10,0.01,0.02,2152.00
0.11,100.00,0.03,1700.00
0.13,0.01,0.04,1338.00
0.14,0.02,0.05,1069.00
0.16,0.02,0.06,845.80
0.18,0.03,0.07,669.30
0.20,0.03,0.09,531.20
0.23,0.04,0.11,425.00
0.25,0.05,0.15,333.30
0.29,0.06,0.18,265.60
0.32,0.08,0.23,212.50
0.36,0.10,0.29,170.00
0.40,0.13,0.37,130.70
0.45,0.16,0.46,106.20
0.51,0.20,0.58,85.00
0.57,0.26,0.73,56.40
0.64,0.33,0.92,51.50
0.72,0.41,1.20,41.46
0.81,0.52,1.60,32.69
0.91,0.65,2.00,26.15
1.02,0.82,2.50,20.73
1.15,1.04,3.20,16.34
1.29,1.31,3.70,12.90
1.45,1.65,4.80,10.30
1.63,2.08,6.00,8.17
1.83,2.63,7.50,6.49
2.05,3.31,9.50,5.13
2.31,4.17,12.00,4.07
2.59,5.26,15.00,3.23
2.91,6.63,19.00,2.56
3.26,8.36,24.00,2.03
3.67,10.55,30.00,1.70
4.12,13.30,38.00,1.27
4.62,16.77,48.00,1.01
5.19,21.15,60.00,0.80
5.83,26.67,78.00,1.63
6.54,33.63,96.00,1.50
7.35,42.41,120.00,1.40
8.25,53.48,150.00,0.32
9.23,67.43,190.00,0.25
10.40,85.30,240.00,0.20
11.86,107.20,319.00,0.16
