Var1,Var2,Var3,Var4,Var5
1,10.5,11,0.145547145515926,1.17462249117328e-05
2,11.0000403552159,10.5,1.19614056989923e-05,0.145547145515926
3,11.0000814530823,11.0000403552159,1.21825536237457e-05,1.19614056989923e-05
4,10.9978174618559,11.0000814530823,3.01768680265417e-06,1.21825536237457e-05
5,10.9970720046028,10.9978174618559,1.3452813490623e-06,3.01768680265417e-06
6,10.9964723595006,10.9970720046028,4.83704569486544e-07,1.3452813490623e-06
7,10.9961357080462,10.9964723595006,1.89032675252017e-07,4.83704569486544e-07
8,10.9959197453897,10.9961357080462,7.15734585063912e-08,1.89032675252017e-07
9,10.9957881491245,10.9959197453897,2.74301602013319e-08,7.15734585063912e-08
10,10.9957063766523,10.9957881491245,1.04639909397714e-08,2.74301602013319e-08
11,10.9956559429689,10.9957063766523,3.9988370342208e-09,1.04639909397714e-08
12,10.9956247486488,10.9956559429689,1.52713431283568e-09,3.9988370342208e-09
